,Unnamed: 0,title,date,stock
2319,931371.0,[[0.99456984]],2015-11-05 13:07:00-05:00,NVDA
2318,931370.0,[[0.9952934]],2015-11-05 16:20:00-05:00,NVDA
2317,931369.0,[[0.9999974]],2015-11-05 16:22:00-05:00,NVDA
2316,931368.0,[[0.99999964]],2015-11-05 16:22:00-05:00,NVDA
2315,931367.0,[[0.05619122]],2015-11-05 16:23:00-05:00,NVDA
2314,931366.0,[[0.9996913]],2015-11-05 17:22:00-05:00,NVDA
2313,931365.0,[[0.9999282]],2015-11-06 04:23:00-05:00,NVDA
2312,931364.0,[[0.99987334]],2015-11-06 07:23:00-05:00,NVDA
2311,931363.0,[[0.9818324]],2015-11-06 08:09:00-05:00,NVDA
2310,931362.0,[[0.99998516]],2015-11-06 08:22:00-05:00,NVDA
2309,931361.0,[[0.99893093]],2015-11-06 09:00:00-05:00,NVDA
2308,931360.0,[[0.98818403]],2015-11-06 09:14:00-05:00,NVDA
2307,931359.0,[[0.9929373]],2015-11-06 09:43:00-05:00,NVDA
2306,931358.0,[[0.00170456]],2015-11-06 10:13:00-05:00,NVDA
2305,931357.0,[[0.99953383]],2015-11-06 10:31:00-05:00,NVDA
2304,931356.0,[[1.]],2015-11-06 12:59:00-05:00,NVDA
2303,931355.0,[[0.99991494]],2015-11-06 15:50:00-05:00,NVDA
2302,931354.0,[[0.99998546]],2015-11-07 17:01:00-05:00,NVDA
6005,186795.0,[[0.99983096]],2015-11-10 10:13:00-05:00,BRK
2301,931353.0,[[0.9999835]],2015-11-13 10:49:00-05:00,NVDA
2300,931352.0,[[0.9999817]],2015-11-16 06:44:00-05:00,NVDA
